SKU,Date,Total_Sales_USD,Total_Units_Sold,Organic_Conversion_Rate_Percent,Organic_Sales_USD,Ad_Spend_USD,Advertising_Conversion_Rate_Percent,Average_CPC_USD,TACOS_Percent,ACOS_Percent,Margin_Before_Ads_USD,Profit_USD,Profit_Margin_Percent,Percent_of_Sales_from_Ads,SEO_Score
SKU2,2024-01-01,1123.57,36,28.12,569.8,317.81,7.01,0.75,28.29,14.7,674.14,356.33,31.71,28.29,76
SKU2,2024-01-02,696.35,32,21.85,388.75,205.74,11.04,1.78,29.55,20.6,417.81,212.07,30.45,29.55,91
SKU2,2024-01-03,1347.76,50,25.95,993.63,263.75,6.54,1.35,19.57,48.5,808.66,544.91,40.43,19.57,77
SKU2,2024-01-04,567.38,19,13.99,402.71,65.36,12.66,1.52,11.52,25.61,340.43,275.07,48.48,11.52,65
SKU2,2024-01-05,904.81,29,13.1,772.03,198.11,10.77,0.91,21.9,23.03,542.89,344.78,38.11,21.9,64
SKU2,2024-01-06,1094.0,10,24.11,596.33,204.17,10.68,1.3,18.66,21.31,656.4,452.23,41.34,18.66,96
SKU2,2024-01-07,850.18,24,12.81,567.59,175.21,5.38,2.67,20.61,36.17,510.11,334.9,39.39,20.61,93
SKU2,2024-01-08,1324.9,18,24.58,943.19,142.88,14.63,2.41,10.78,22.19,794.94,652.0600000000001,49.22,10.78,52
SKU2,2024-01-09,1109.49,10,24.3,653.84,255.41,5.23,1.26,23.02,11.62,665.69,410.2800000000001,36.98,23.02,86
SKU2,2024-01-10,743.09,31,10.82,630.08,173.45,7.44,2.3,23.34,13.06,445.85,272.40000000000003,36.66,23.34,56
SKU2,2024-01-11,863.72,31,24.37,673.61,122.98,13.45,0.69,14.24,13.01,518.23,395.25,45.76,14.24,70
SKU2,2024-01-12,1156.66,35,16.53,689.67,122.01,11.32,1.96,10.55,46.57,694.0,571.99,49.45,10.55,58
SKU2,2024-01-13,1345.82,45,22.12,1091.98,347.75,7.11,2.12,25.84,15.07,807.49,459.74,34.16,25.84,88
SKU2,2024-01-14,551.08,21,29.37,484.36,79.53,6.08,0.55,14.43,17.65,330.65,251.12,45.57,14.43,67
SKU2,2024-01-15,564.83,47,22.12,458.95,63.99,10.53,1.74,11.33,32.21,338.9,274.91,48.67,11.33,53
SKU2,2024-01-16,848.02,12,18.14,458.7,159.64,13.05,2.09,18.83,18.86,508.81,349.17,41.17,18.83,74
SKU2,2024-01-17,1235.55,50,14.78,995.93,239.98,13.45,1.06,19.42,49.08,741.33,501.35,40.58,19.42,63
SKU2,2024-01-18,1325.18,30,21.65,1021.02,302.75,5.93,2.97,22.85,10.37,795.11,492.36,37.15,22.85,99
SKU2,2024-01-19,1089.79,48,28.33,862.5,301.81,10.6,0.77,27.69,41.5,653.87,352.06,32.31,27.69,58
SKU2,2024-01-20,633.52,12,15.88,541.28,151.51,7.69,0.52,23.92,25.2,380.11,228.6,36.08,23.92,75
SKU2,2024-01-21,1194.69,21,13.59,749.03,203.68,7.18,2.13,17.05,47.76,716.81,513.1299999999999,42.95,17.05,51
SKU2,2024-01-22,1352.14,18,16.03,700.77,328.18,8.2,1.7,24.27,49.4,811.28,483.1,35.73,24.27,69
SKU2,2024-01-23,1309.56,16,25.99,1098.12,201.94,11.8,2.01,15.42,49.62,785.74,583.8,44.58,15.42,77
SKU2,2024-01-24,1165.21,20,19.71,825.47,224.37,6.73,2.8,19.26,46.32,699.13,474.76,40.74,19.26,96
SKU2,2024-01-25,1283.33,17,17.04,1110.05,190.21,10.5,2.96,14.82,13.2,770.0,579.79,45.18,14.82,56
SKU2,2024-01-26,999.2,38,12.82,719.25,217.27,9.22,1.67,21.74,49.5,599.52,382.25,38.26,21.74,93
SKU2,2024-01-27,907.57,34,29.03,685.67,248.59,6.73,1.85,27.39,10.5,544.54,295.94999999999993,32.61,27.39,57
SKU2,2024-01-28,976.27,44,14.13,787.19,276.49,8.8,0.73,28.32,30.32,585.76,309.27,31.68,28.32,96
SKU2,2024-01-29,756.31,16,25.63,542.15,219.78,12.6,0.97,29.06,48.55,453.79,234.01,30.94,29.06,84
SKU2,2024-01-30,1166.81,40,26.28,854.96,201.62,11.65,0.51,17.28,22.81,700.09,498.47,42.72,17.28,63
SKU3,2024-01-01,1004.75,25,19.88,683.64,266.79,14.0,1.05,26.55,48.8,602.85,336.06,33.45,26.55,66
SKU3,2024-01-02,1279.14,24,15.42,832.77,348.14,10.86,1.21,27.22,27.44,767.48,419.34,32.78,27.22,85
SKU3,2024-01-03,1120.17,20,22.97,972.78,280.64,7.27,0.7,25.05,45.13,672.1,391.46,34.95,25.05,99
SKU3,2024-01-04,1334.26,32,21.36,1159.11,253.96,13.65,1.7,19.03,21.53,800.56,546.5999999999999,40.97,19.03,89
SKU3,2024-01-05,1234.97,15,20.43,843.15,180.63,11.7,0.8,14.63,47.5,740.98,560.35,45.37,14.63,53
SKU3,2024-01-06,1349.55,33,17.65,943.42,334.08,5.6,2.04,24.75,22.15,809.73,475.65,35.25,24.75,51
SKU3,2024-01-07,506.83,48,12.07,286.94,88.23,9.66,0.55,17.41,22.94,304.1,215.87,42.59,17.41,55
SKU3,2024-01-08,1303.73,48,11.73,1055.11,199.44,8.36,1.74,15.3,15.55,782.24,582.8,44.7,15.3,91
SKU3,2024-01-09,1032.74,28,11.16,702.62,304.8,10.73,1.52,29.51,23.53,619.64,314.84,30.49,29.51,53
SKU3,2024-01-10,1357.88,35,26.16,1184.52,323.5,5.37,0.76,23.82,22.49,814.73,491.23,36.18,23.82,78
SKU3,2024-01-11,1223.97,27,20.97,730.51,341.37,8.36,1.05,27.89,19.93,734.38,393.01,32.11,27.89,67
SKU3,2024-01-12,1373.03,21,18.32,895.14,361.38,10.23,1.25,26.32,44.06,823.82,462.44000000000005,33.68,26.32,75
SKU3,2024-01-13,1294.94,26,10.55,1140.95,365.87,9.32,0.55,28.25,47.89,776.96,411.09,31.75,28.25,93
SKU3,2024-01-14,941.12,16,21.66,578.92,225.33,5.95,2.26,23.94,16.49,564.67,339.3399999999999,36.06,23.94,83
SKU3,2024-01-15,685.6,43,22.7,529.37,108.42,12.73,2.32,15.81,25.74,411.36,302.94,44.19,15.81,59
SKU3,2024-01-16,635.4,16,11.27,504.43,129.11,8.92,1.89,20.32,24.73,381.24,252.13,39.68,20.32,85
SKU3,2024-01-17,521.83,36,29.22,390.69,142.63,5.95,1.82,27.33,47.43,313.1,170.47000000000003,32.67,27.33,63
SKU3,2024-01-18,514.48,40,25.04,375.3,124.05,11.65,0.82,24.11,14.29,308.69,184.64,35.89,24.11,80
SKU3,2024-01-19,1312.48,48,13.42,1071.61,247.61,13.74,0.88,18.87,27.81,787.49,539.88,41.13,18.87,97
SKU3,2024-01-20,1274.39,32,16.55,789.63,167.39,14.04,1.73,13.13,27.85,764.63,597.24,46.86,13.13,64
SKU3,2024-01-21,1021.92,47,28.31,700.77,116.51,8.08,0.92,11.4,11.21,613.15,496.64,48.6,11.4,57
SKU3,2024-01-22,1160.25,25,28.2,689.77,279.92,8.2,1.58,24.13,23.66,696.15,416.23,35.87,24.13,63
SKU3,2024-01-23,590.13,11,14.56,305.24,69.39,12.32,0.61,11.76,31.68,354.08,284.69,48.24,11.76,72
SKU3,2024-01-24,618.42,12,11.4,408.53,82.64,5.44,2.44,13.36,40.74,371.05,288.41,46.64,13.36,89
SKU3,2024-01-25,1099.38,29,27.03,557.03,321.92,13.36,1.14,29.28,45.78,659.63,337.71,30.72,29.28,70
SKU3,2024-01-26,1412.92,15,24.66,753.04,332.66,10.2,0.5,23.54,39.99,847.75,515.0899999999999,36.46,23.54,65
SKU3,2024-01-27,930.83,47,20.87,467.61,263.04,12.17,2.94,28.26,14.32,558.5,295.46,31.74,28.26,94
SKU3,2024-01-28,598.75,31,22.61,381.65,125.7,5.81,1.05,20.99,34.65,359.25,233.55,39.01,20.99,67
SKU3,2024-01-29,1055.13,37,13.46,761.9,254.58,12.25,1.71,24.13,35.07,633.08,378.5,35.87,24.13,96
SKU3,2024-01-30,1012.36,16,24.37,909.65,257.69,7.55,1.54,25.45,24.9,607.42,349.73,34.55,25.45,73
SKU4,2024-01-01,1340.25,46,13.71,968.17,401.95,14.69,2.95,29.99,11.61,804.15,402.2,30.01,29.99,75
SKU4,2024-01-02,714.52,40,12.01,360.78,185.36,10.55,1.25,25.94,48.94,428.71,243.35,34.06,25.94,74
SKU4,2024-01-03,788.27,33,12.36,633.07,103.59,14.8,2.89,13.14,44.56,472.96,369.37,46.86,13.14,94
SKU4,2024-01-04,1014.62,44,12.76,540.34,202.55,12.78,1.58,19.96,39.15,608.77,406.22,40.04,19.96,90
SKU4,2024-01-05,1087.09,24,27.03,742.01,123.12,13.78,1.26,11.33,38.3,652.25,529.13,48.67,11.33,78
SKU4,2024-01-06,608.1,22,20.13,401.58,116.59,14.41,2.66,19.17,29.58,364.86,248.27,40.83,19.17,64
SKU4,2024-01-07,1147.46,23,26.95,626.81,309.93,6.16,1.76,27.01,31.66,688.48,378.55,32.99,27.01,94
SKU4,2024-01-08,1301.72,43,28.4,1041.81,213.24,7.27,2.93,16.38,31.01,781.03,567.79,43.62,16.38,50
SKU4,2024-01-09,1017.85,17,13.55,862.09,302.04,14.05,1.96,29.67,15.64,610.71,308.67,30.33,29.67,74
SKU4,2024-01-10,1193.15,12,14.34,1038.07,184.69,7.11,1.94,15.48,39.5,715.89,531.2,44.52,15.48,56
SKU4,2024-01-11,1144.45,44,10.03,652.85,224.57,5.12,2.75,19.62,12.94,686.67,462.1,40.38,19.62,58
SKU4,2024-01-12,739.87,25,23.59,643.31,105.74,13.02,2.08,14.29,15.66,443.92,338.18,45.71,14.29,73
SKU4,2024-01-13,777.31,18,26.88,397.3,154.42,8.4,1.23,19.87,27.54,466.39,311.97,40.13,19.87,50
SKU4,2024-01-14,1207.28,28,13.67,671.24,133.13,13.22,1.41,11.03,45.81,724.37,591.24,48.97,11.03,93
SKU4,2024-01-15,739.51,31,10.23,653.96,94.73,13.64,2.47,12.81,34.02,443.71,348.98,47.19,12.81,57
SKU4,2024-01-16,824.33,23,25.53,438.01,124.63,10.86,2.37,15.12,16.13,494.6,369.97,44.88,15.12,73
SKU4,2024-01-17,1367.76,34,14.03,832.52,236.29,5.1,2.83,17.28,44.81,820.66,584.37,42.72,17.28,60
SKU4,2024-01-18,566.17,47,27.75,385.81,115.19,12.24,0.58,20.35,23.08,339.7,224.51,39.65,20.35,66
SKU4,2024-01-19,1442.18,14,28.25,1016.72,292.23,11.03,1.39,20.26,14.99,865.31,573.0799999999999,39.74,20.26,57
SKU4,2024-01-20,647.98,17,14.76,442.24,105.4,8.09,2.94,16.27,46.82,388.79,283.39,43.73,16.27,84
SKU4,2024-01-21,754.29,45,27.36,458.91,106.23,6.09,2.37,14.08,34.09,452.57,346.34,45.92,14.08,84
SKU4,2024-01-22,682.31,19,24.88,480.19,163.8,7.15,2.02,24.01,17.76,409.39,245.59,35.99,24.01,82
SKU4,2024-01-23,722.96,18,14.76,415.86,199.37,14.91,0.66,27.58,30.67,433.78,234.41,32.42,27.58,54
SKU4,2024-01-24,624.65,28,14.49,465.28,88.75,14.92,2.2,14.21,32.72,374.79,286.04,45.79,14.21,91
SKU4,2024-01-25,743.51,11,11.59,559.94,141.63,5.59,1.06,19.05,45.77,446.11,304.48,40.95,19.05,88
SKU4,2024-01-26,1433.34,32,13.28,877.35,379.65,13.85,1.66,26.49,41.69,860.0,480.35,33.51,26.49,90
SKU4,2024-01-27,796.51,28,28.26,434.31,220.9,10.09,0.8,27.73,23.58,477.91,257.01,32.27,27.73,77
SKU4,2024-01-28,536.65,30,17.82,297.52,159.67,8.8,1.03,29.75,41.04,321.99,162.32000000000002,30.25,29.75,56
SKU4,2024-01-29,1131.06,38,17.76,810.63,225.5,11.45,2.51,19.94,14.68,678.64,453.14,40.06,19.94,58
SKU4,2024-01-30,501.15,29,12.36,394.9,147.21,13.08,1.06,29.37,16.83,300.69,153.48,30.63,29.37,57
SKU5,2024-01-01,1185.51,17,17.36,981.77,191.06,5.32,1.52,16.12,29.29,711.31,520.25,43.88,16.12,61
SKU5,2024-01-02,673.63,49,19.05,531.85,166.04,7.8,1.73,24.65,40.11,404.18,238.14,35.35,24.65,83
SKU5,2024-01-03,525.62,18,16.09,460.7,104.84,8.31,1.34,19.95,11.64,315.37,210.53,40.05,19.95,82
SKU5,2024-01-04,578.78,46,11.76,482.14,122.51,13.62,2.52,21.17,47.93,347.27,224.76,38.83,21.17,97
SKU5,2024-01-05,778.72,24,18.88,608.29,206.67,13.44,2.31,26.54,24.86,467.23,260.56000000000006,33.46,26.54,72
SKU5,2024-01-06,1469.61,10,25.42,1139.58,276.37,6.67,2.76,18.81,11.98,881.77,605.4,41.19,18.81,73
SKU5,2024-01-07,1257.88,15,12.15,797.87,329.8,13.83,2.96,26.22,17.46,754.73,424.93,33.78,26.22,86
SKU5,2024-01-08,1389.03,47,27.08,732.82,273.05,9.11,1.04,19.66,34.01,833.42,560.3699999999999,40.34,19.66,84
SKU5,2024-01-09,851.3,38,29.94,660.33,119.98,8.53,2.3,14.09,12.11,510.78,390.8,45.91,14.09,93
SKU5,2024-01-10,844.3,46,18.74,614.72,180.7,12.55,2.0,21.4,35.6,506.58,325.88,38.6,21.4,89
SKU5,2024-01-11,640.97,50,20.68,563.69,189.92,11.49,1.13,29.63,32.53,384.58,194.66,30.37,29.63,71
SKU5,2024-01-12,712.65,26,19.53,522.58,139.84,10.62,1.14,19.62,49.48,427.59,287.75,40.38,19.62,76
SKU5,2024-01-13,607.22,39,21.28,542.21,153.81,7.76,1.6,25.33,27.65,364.33,210.52,34.67,25.33,84
SKU5,2024-01-14,567.24,14,12.45,456.96,140.5,13.32,1.45,24.77,17.97,340.34,199.84,35.23,24.77,50
SKU5,2024-01-15,1135.5,11,12.5,912.96,190.18,6.43,1.33,16.75,43.69,681.3,491.12,43.25,16.75,84
SKU5,2024-01-16,719.76,48,10.04,557.48,119.73,6.87,2.89,16.63,44.76,431.86,312.13,43.37,16.63,86
SKU5,2024-01-17,1036.07,14,10.67,695.74,222.01,7.23,1.66,21.43,33.33,621.64,399.63,38.57,21.43,96
SKU5,2024-01-18,677.27,22,12.42,351.15,112.74,11.67,2.34,16.65,45.73,406.36,293.62,43.35,16.65,63
SKU5,2024-01-19,757.84,36,14.72,469.91,145.8,14.83,0.89,19.24,27.86,454.7,308.9,40.76,19.24,52
SKU5,2024-01-20,1499.08,50,28.12,952.97,440.63,13.41,0.71,29.39,46.73,899.45,458.8200000000001,30.61,29.39,50
SKU5,2024-01-21,1385.56,28,13.97,939.48,267.91,6.4,0.7,19.34,28.52,831.34,563.4300000000001,40.66,19.34,54
SKU5,2024-01-22,872.77,48,21.39,496.22,200.29,9.56,1.22,22.95,11.22,523.66,323.37,37.05,22.95,75
SKU5,2024-01-23,1191.74,13,20.19,659.83,159.32,11.48,1.2,13.37,47.86,715.04,555.72,46.63,13.37,63
SKU5,2024-01-24,811.61,27,23.07,605.3,203.03,14.61,1.15,25.02,12.62,486.97,283.94000000000005,34.98,25.02,88
SKU5,2024-01-25,1021.06,23,26.75,876.69,224.03,12.7,0.85,21.94,14.52,612.64,388.61,38.06,21.94,76
SKU5,2024-01-26,1171.13,39,26.66,604.27,131.67,6.17,1.76,11.24,22.29,702.68,571.01,48.76,11.24,58
SKU5,2024-01-27,839.98,50,16.39,676.11,126.13,6.06,1.6,15.02,24.97,503.99,377.86,44.98,15.02,64
SKU5,2024-01-28,768.38,28,12.81,510.82,174.7,10.16,2.4,22.74,37.37,461.03,286.33,37.26,22.74,64
SKU5,2024-01-29,965.33,38,16.18,492.69,196.57,11.69,2.79,20.36,45.91,579.2,382.63000000000005,39.64,20.36,75
SKU5,2024-01-30,1210.22,49,13.59,1062.36,143.52,14.62,2.5,11.86,24.11,726.13,582.61,48.14,11.86,91
SKU1,2024-01-31,1884.648711868619,22,,,442.38179883117374,,,12.217787308409209,36.649664560915824,,480.1313319658993,31.585872665778744,22.80353913791801,69
SKU1,2024-02-01,1270.0334804826778,48,,,112.58939471700833,,,8.093509475273276,25.796178278867778,,600.053610419862,29.10918215932279,21.906450476426663,50
SKU1,2024-02-02,1159.2837244876207,47,,,479.3123143513527,,,12.276889122982,28.92987756697016,,596.2973173248893,28.706356743751428,15.310441497177818,56
SKU1,2024-02-03,1379.025187858795,25,,,262.7106046636128,,,13.855278166132987,47.78372274757289,,733.6376102990316,35.57258777169653,33.44499454495692,53
SKU1,2024-02-04,1512.668324413948,11,,,233.87238690504236,,,23.184135055607364,35.92339149129565,,655.885507691978,28.237666984922253,31.613180874897886,71
SKU1,2024-02-05,1436.4969728848507,26,,,494.8755018156328,,,7.205137797065686,20.42927470903573,,761.0763229342422,13.743980617152594,37.3318583827471,99
SKU1,2024-02-06,506.89676375628756,14,,,229.85131269296528,,,17.64874194683835,37.76861980549569,,563.689285283551,31.752751359843483,36.4974595349664,52
SKU1,2024-02-07,1051.4984842274803,23,,,295.88939202991503,,,7.026128165145334,14.632344252900618,,473.60225153345243,13.455434760029403,30.21721659352033,89
SKU1,2024-02-08,1905.3709040757774,47,,,272.15319255351733,,,10.675983209852705,11.401931624589352,,456.59443718689795,34.57869902406689,26.410762610282287,94
SKU1,2024-02-09,1036.869807907693,47,,,457.50661126840595,,,20.081481727632628,45.987114608872666,,529.4896308151199,46.87543046458621,21.4808107816632,83
SKU1,2024-02-10,1843.2290247017881,21,,,329.1571404103034,,,19.875086288173087,10.614339467767966,,478.7713637409866,20.890343353735517,22.763913577385097,55
SKU1,2024-02-11,1326.871964285006,20,,,327.5732302279617,,,16.39599592183422,16.87369352348417,,233.76832624872122,32.0501743015253,29.565878165518274,80
SKU1,2024-02-12,1145.6521723187293,38,,,207.8365447451763,,,8.269168024111613,29.179854094792365,,434.95658549485455,11.76780172813066,14.797599699195434,56
SKU1,2024-02-13,1105.7324030118216,42,,,436.62888866133505,,,16.676086639348142,12.845891810829269,,652.5252482402004,22.65295850162858,29.095255213955426,85
SKU1,2024-02-14,682.5605703819623,23,,,469.03503882879164,,,6.600813214528721,14.49789468454898,,275.0934825406989,25.8443958946891,29.908790533068615,62
SKU1,2024-02-15,1631.4128406711036,29,,,424.09886602151175,,,9.990015562540975,36.197142035474116,,476.0041416004951,31.123185639774263,28.5717924862147,62
SKU1,2024-02-16,629.3583157289222,15,,,359.3000526003581,,,9.202998233301258,23.75039427437955,,729.1359596968653,29.26119259190742,31.76958107659085,87
SKU1,2024-02-17,1003.9952198621967,31,,,325.858936791097,,,17.815175105663954,36.175959979333086,,225.8289406877333,38.27694619295925,31.594061537410937,62
SKU1,2024-02-18,1952.6621437491772,38,,,374.1330357559204,,,7.565477405059267,43.94817433291278,,698.205363798209,32.27697968602314,28.24352429364385,94
SKU1,2024-02-19,1968.346039675361,42,,,368.8628243256185,,,5.2022382545732775,19.388795461485586,,625.6743820040491,36.22114619662887,13.199977010463677,71
SKU1,2024-02-20,1983.0845784389062,40,,,285.23643631202833,,,10.29417229272916,34.131140886394675,,456.79089449493426,38.63335192995525,36.27283811457616,63
SKU1,2024-02-21,1523.7453035538902,49,,,493.7909519504335,,,15.08118438609863,10.41928752217351,,646.7539813176854,18.97704987235867,31.727511179318505,65
SKU1,2024-02-22,1242.5155669498472,26,,,207.53784140412543,,,16.203074794786218,26.090036479005434,,699.0565582414838,20.103655615901552,27.395447090049426,81
SKU1,2024-02-23,524.0671614177297,17,,,380.58142850115917,,,5.525993149532818,49.46803257957218,,281.1845272256895,26.136143299633638,13.911251813985393,91
SKU1,2024-02-24,1946.0484992777313,40,,,361.99628346606903,,,11.528646406184375,18.519462615238144,,242.72551019059156,46.95939373512572,25.5731165522556,97
SKU1,2024-02-25,985.3398643616096,28,,,287.87271125966765,,,15.544278493290253,49.66660658517342,,404.3526559698771,34.95699128667498,19.535711630217396,87
SKU1,2024-02-26,1627.2850554553931,29,,,220.11384788792014,,,21.682013680725277,44.990251391156406,,405.225030449149,11.76853680756186,24.338987814983444,88
SKU1,2024-02-27,1056.9795143576525,47,,,389.01614879784955,,,7.31079963571789,14.935376233216706,,532.0741521029252,13.584038208843703,12.608395835497365,73
SKU1,2024-02-28,602.5143646759354,40,,,386.14861131597274,,,14.307078281084689,24.048032984785884,,765.6035289326381,40.7306858520559,16.14321168027693,84
SKU1,2024-02-29,1730.3675227284746,32,,,402.3991864274848,,,7.665365089985152,12.362968187767272,,503.18139521609123,37.481536309719445,10.960572641250089,72
SKU1,2024-03-01,1996.4903951569113,29,,,130.85279321689595,,,19.597918770424997,44.484254374599566,,395.396452558208,11.35556323708403,25.156359263864566,86
SKU1,2024-03-02,1714.6717118349293,48,,,182.54901160840032,,,16.24225855312286,49.81908916060934,,606.7099101068528,10.67481325761948,34.01857188056195,72
SKU1,2024-03-03,1197.4404597462444,25,,,232.71895038398083,,,18.812206654399095,15.373445827856575,,564.7291076000353,24.949134780166876,36.593977290730415,52
SKU1,2024-03-04,1666.6976074590182,32,,,386.5772820274467,,,14.749156336550568,19.914465269075393,,525.7414823477914,33.31599690684636,24.088600904000913,82
SKU1,2024-03-05,1977.188416977888,40,,,204.54832661462615,,,23.47261739836377,12.922468662995623,,676.977440967101,34.316308458378586,30.870522904409075,77
SKU1,2024-03-06,818.031578409764,33,,,472.7216807554914,,,10.458261190669107,31.62712763751012,,752.1064717651051,45.89761072284582,12.206358878710676,92
SKU1,2024-03-07,1812.6017447851975,17,,,454.4222419318286,,,21.68384037720983,41.48378121515116,,505.334956975729,15.993270973638278,12.585031634785278,59
SKU1,2024-03-08,1799.8919539794683,18,,,351.96243070808316,,,15.524398889576524,46.55364027614018,,220.85016656201753,22.668131278134762,37.36158117261266,64
SKU1,2024-03-09,1388.8486105785887,15,,,220.30858254220408,,,24.492885418693415,21.367269118036827,,660.2864311122283,24.944291168704954,22.55800144163271,52
SKU1,2024-03-10,1746.8429958321103,41,,,347.0219656136687,,,13.293262010597713,14.060664605881762,,394.14839894891514,11.528469833093142,19.312952738285553,76
SKU1,2024-03-11,824.2552094424074,47,,,393.40852139921475,,,19.263403208596365,29.902939452093715,,734.1335559579071,42.61620994923136,18.712964795688315,83
SKU1,2024-03-12,1298.2535943428375,35,,,203.75165614969706,,,22.82335102219003,36.877400330543296,,419.92311150138903,34.81978436935546,18.484256894679223,76
SKU1,2024-03-13,604.8380888906975,11,,,128.71769286849437,,,21.69441393753146,11.906949648730304,,769.8205149648965,40.80341764511821,24.01011674474899,60
SKU1,2024-03-14,1089.9044805989843,29,,,325.3211944108582,,,14.800974186790894,33.74355932806097,,610.3835644733342,11.262418949586323,33.447009098399306,82
SKU1,2024-03-15,962.8935571706111,15,,,317.25254555998924,,,24.418488080459774,22.40196182090727,,562.5793569762345,46.75221259333647,24.170609302450934,68
SKU1,2024-03-16,1848.1123186249495,13,,,482.3356072812463,,,14.666877223524448,27.24669325176315,,207.71323963800154,25.558481093585254,24.571044926082692,58
SKU1,2024-03-17,1828.931915230666,17,,,163.50279147062741,,,20.350241312734838,15.987006925555107,,438.6223408544754,30.083831487320573,18.92751999046846,85
SKU1,2024-03-18,795.3651384523396,13,,,467.8140070580214,,,17.14045741984902,14.921716227222594,,393.8974827101661,31.196418357436258,21.170225485951132,88
SKU1,2024-03-19,613.2405404058892,10,,,146.15384886568324,,,10.566928964067499,38.96054349896314,,216.56536381656588,12.835894028886319,37.28954842233729,91
